Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
532993,SEJALLTD,Sejal Glass Ltd,Active,B ,10,INE955I01044,Glass - Industrial,Equity,Industrials,Capital Goods
532994,ARCHIDPLY,Archidply Industries Ltd,Active,B ,10,INE877I01016,Plywood Boards/ Laminates,Equity,Consumer Discretionary,Consumer Durables
532998,LOTUSEYE,Lotus Eye Hospital And Institute Ltd,Active,B ,10,INE947I01017,Hospital,Equity,Healthcare,Healthcare
533001,SOMICONVEY,Somi Conveyor Beltings Ltd,Active,B ,10,INE323J01019,Industrial Products,Equity,Industrials,Capital Goods
533007,LGBFORGE,LGB Forge Ltd,Active,X ,1,INE201J01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
533012,LPDC,Landmark Property Development Company Ltd,Active,B ,1,INE197J01017,Real Estate related services,Equity,Consumer Discretionary,Realty
533014,SICAGEN,Sicagen India Ltd,Active,X ,10,INE176J01011,Trading & Distributors,Equity,Services,Services
533018,SIMPLXMIL,Simplex Mills Company Ltd,Active,X ,1000,INE457H01027,Other Textile Products,Equity,Consumer Discretionary,Textiles
533019,SIMPLXPAP,Simplex Papers Ltd,Active,X ,1000,INE456H01029,Paper & Paper Products,Equity,Commodities,Forest Materials
533022,20MICRONS,20 Microns Ltd,Active,B ,5,INE144J01027,Industrial Minerals,Equity,Commodities,Metals & Mining
533023,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd,Active,A ,5,INE342J01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
533029,ALKALI,Alkali Metals Ltd,Active,B ,10,INE773I01017,Specialty Chemicals,Equity,Commodities,Chemicals
533033,ISGEC,ISGEC Heavy Engineering Ltd,Active,A ,1,INE858B01029,Civil Construction,Equity,Industrials,Construction
533047,IMFA,Indian Metals & Ferro Alloys Ltd,Active,B ,10,INE919H01018,Ferro & Silica Manganese,Equity,Commodities,Metals & Mining
533048,TPHQ,Teamo Productions HQ Ltd,Active,T ,1,INE065J01024,Civil Construction,Equity,Industrials,Construction
533056,VEDAVAAG,VEDAVAAG Systems Ltd,Active,X ,10,INE359B01010,IT Enabled Services,Equity,Information Technology,Information Technology
533080,MOLDTKPAC,Mold-Tek Packaging Ltd,Active,B ,5,INE893J01029,Packaging,Equity,Industrials,Capital Goods
533088,MHRIL,Mahindra Holidays & Resorts India Ltd,Active,A ,10,INE998I01010,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
533090,EXCEL,Excel Realty N Infra Ltd,Active,B ,1,INE688J01023,Trading & Distributors,Equity,Services,Services
533093,ROML,Raj Oil Mills Ltd,Active,B ,10,INE294G01026,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533095,BENGALASM,Bengal & Assam Company Ltd,Active,B ,10,INE083K01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
533096,ADANIPOWER,Adani Power Ltd,Active,A ,10,INE814H01011,Integrated Power Utilities,Equity,Utilities,Power
533098,NHPC,NHPC Ltd,Active,A ,10,INE848E01016,Power Generation,Equity,Utilities,Power
533100,PEIL,Premier Energy and Infrastructure Ltd,Active,XT,10,INE429K01012, ,Equity,-,-
533101,SURYAAMBA,Suryaamba Spinning Mills Ltd,Active,X ,10,INE360J01011,Other Textile Products,Equity,Consumer Discretionary,Textiles
533104,GLOBUSSPR,Globus Spirits Ltd,Active,B ,10,INE615I01010,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533106,OIL,Oil India Ltd,Active,A ,10,INE274J01014,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels"
533108,BTTL,Bhilwara Technical Textiles Ltd,Active,X ,1,INE274K01012,Trading - Textile Products,Equity,Consumer Discretionary,Textiles
533110,SPSL,Shree Precoated Steels Ltd,Active,X ,10,INE318K01025,Iron & Steel Products,Equity,Industrials,Capital Goods
533121,EXPLEOSOL,Expleo Solutions Ltd,Active,B ,10,INE201K01015,IT Enabled Services,Equity,Information Technology,Information Technology
533122,RTNPOWER,RattanIndia Power Ltd,Active,A ,10,INE399K01017,Power Generation,Equity,Utilities,Power
533137,DEN,Den Networks Ltd,Active,B ,10,INE947J01015,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication"
